kpk;per;pemployee;pcompany;ptotal;dfrom
025;ΕΦΑΠΑΞ ΕΙΣΦΟΡΑ ΠΡΟΝΟΙΑΣ ΞΕΝΟΔΟΧΟΥΠΑΛΛΗΛΩΝ (ΠΑΛΑΙΟΙ ΚΑΙ ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ);0,29;0,00;0,29;1/12/2013
026;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΣΤΟΝ ΤΟΜΕΑ ΠΡΟΝΟΙΑΣ ΥΠΑΛΛΗΛΩΝ ΕΜΠΟΡΙΚΩΝ ΚΑΤΑΣΤΗΜΑΤΩΝ ΤΟΥ τ. ΤΑΠΙΤ;0,40;0,40;0,80;1/12/2013
027;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΣΤΟΝ ΤΟΜΕΑ ΠΡΟΝΟΙΑΣ ΕΡΓΑΤΟΫΠΑΛΛΗΛΩΝ ΜΕΤΑΛΛΟΥ ΤΟΥ τ. ΤΑΠΙΤ;1,00;0,00;1,00;1/12/2013
028;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΣΤΟΝ ΤΟΜΕΑ ΠΡΟΝΟΙΑΣ ΛΙΜΕΝΕΡΓΑΤΩΝ ΤΟΥ τ. ΤΑΠΙΤ;4,00;3,00;7,00;1/12/2013
029;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΣΤΟΝ ΤΟΜΕΑ ΠΡΟΝΟΙΑΣ ΜΟΝΙΜΩΝ ΥΠΑΛΛΗΛΩΝ ΟΛΠ ΑΕ ΤΟΥ τ. ΤΑΠΙΤ;3,00;6,00;9,00;1/12/2013
030;τ. ΤΑΠ-ΔΕΗ;6,67;13,33;20,00;1/1/2020
031;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΣΤΟΝ ΤΟΜΕΑ ΠΡΟΝΟΙΑΣ ΠΡΟΣΩΠΙΚΟΥ ΙΠΠΟΔΡΟΜΙΩΝ TOY τ. ΤΑ.Π.Ι.Τ.;1,00;1,00;2,00;1/12/2013
036;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΣΤΟ ΤΟΜΕΑ ΠΡΟΝΟΙΑΣ ΠΡΟΣΩΠΙΚΟΥ ΕΤΑΙΡΕΙΩΝ ΤΣΙΜΕΝΤΟΥ ΤΟΥ τ. ΤΑΠΙΤ;1,50;1,50;3,00;1/12/2013
037;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΣΤΟΝ ΤΟΜΕΑ ΠΡΟΝΟΙΑΣ ΠΡΟΣΩΠΙΚΟΥ ΕΤΑΙΡΕΙΩΝ ΛΙΠΑΣΜΑΤΩΝ ΤΟΥ τ. ΤΑΠΙΤ;2,00;1,00;3,00;1/12/2013
038;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ (ΜΟΝΙΜΟΙ & ΕΚΤΑΚΤΟΙ) ΣΤΟΝ ΤΟΜΕΑ ΠΡΟΝΟΙΑΣ ΥΠΑΛΛΗΛΩΝ ΟΡΓΑΝΙΣΜΟΥ ΕΘΝΙΚΟΥ ΘΕΑΤΡΟΥ ΤΟΥ τ. ΤΑΠΙΤ;3,75;5,00;8,75;1/12/2013
039;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΣΤΟΝ ΤΟΜΕΑ ΠΡΟΝΟΙΑΣ ΠΡΟΣΩΠΙΚΟΥ ΛΙΜΕΝΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ ΚΑΙ ΛΟΙΠΩΝ ΠΕΡΙΦΕΡΕΙΑΚΩΝ ΕΝΟΤΗΤΩΝ ΤΟΥ τ. ΤΑΠΙΤ;3,00;3,00;6,00;1/12/2013
041;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΣΤΟΝ ΤΟΜΕΑ ΠΡΟΝΟΙΑΣ ΕΠΙ ΣΥΜΒΑΣΕΙ ΥΠΑΛΛΗΛΩΝ ΟΛΠ ΑΕ ΤΟΥ τ. ΤΑΠΙΤ;3,00;6,00;9,00;1/12/2013
042;ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ ΣΤΟΝ ΤΟΜΕΑ ΠΡΟΝΟΙΑΣ ΠΡΟΣΩΠΙΚΟΥ ΟΡΓΑΝΙΣΜΟΥ ΥΔΡΕΥΣΕΩΣ ΘΕΣΣΑΛΟΝΙΚΗΣ ΤΟΥ τ. ΤΑΠΙΤ;4,50;3,00;7,50;1/12/2013
043;ΠΡΟΝΟΙΑ ΠΡΟΣΩΠΙΚΟΥ ΟΣΕ ΤΟΥ Τ. Τ.Α.Υ.Τ.Ε.Κ.Ω. ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ (30%);5,20;3,90;9,10;1/12/2013
044;ΠΡΟΝΟΙΑ ΠΡΟΣΩΠΙΚΟΥ ΟΣΕ ΤΟΥ Τ. Τ.Α.Υ.Τ.Ε.Κ.Ω ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ (50%);6,00;4,50;10,50;1/12/2013
047;ΕΙΣΦΟΡΑ ΥΠΕΡ ΤΗΣ ΣΤΕΓΗΣ ΥΓΕΙΟΝΟΜΙΚΩΝ;2,00;0,00;2,00;1/1/2017
049;ΠΡΟΝΟΙΑ ΠΡΟΣΩΠΙΚΟΥ ΟΣΕ ΤΟΥ Τ. Τ.Α.Υ.Τ.Ε.Κ.Ω ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ (70%);6,800;5,100;11,900;1/12/2013
050;ΜΙΣΘΩΤΟΙ - ΑΝΕΙΔΙΚΕΥΤΟΙ ΕΡΓΑΤΕΣ ΑΣΦΑΛΙΣΜΕΝΟΙ ΣΤΟΝ τ.Ο.Γ.Α. ΜΕ ΙΣΧΥ ΑΠΟ 01/01/2017;10,37;18,79;29,16;1/1/2025
051;ΠΡΟΝΟΙΑ ΠΡΟΣΩΠΙΚΟΥ ΕΡΤΤ / ΙΛΤΕ ΤΟΥ Τ. Τ.Α.Υ.Τ.Ε.Κ.Ω ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ;3,000;0,000;3,000;1/12/2013
052;ΠΡΟΝΟΙΑ ΠΡΟΣΩΠΙΚΟΥ ΕΜΠΟΡΙΚΗΣ ΤΡΑΠΕΖΑΣ ΤΟΥ Τ. Τ.Α.Υ.Τ.Ε.Κ.Ω ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ;3,50;0,00;3,50;1/12/2013
053;ΑΣΘΕΝΕΙΑ ΣΕ ΕΙΔΟΣ ΠΡΟΣΩΠΙΚΟΥ Τ.ΤΑΑΠΤΠΓΑΕ ΤΟΥ Τ. Τ.Α.Υ.Τ.Ε.Κ.Ω (1,5%);3,15;3,80;6,95;1/1/2025
054;ΑΣΘΕΝΕΙΑ ΓΙΑ ΠΑΡΟΧΗ ΣΕ ΧΡΗΜΑ ΠΡΟΣΩΠΙΚΟΥ Τ.ΤΑΑΠΤΠΓΑΕ ΤΟΥ Τ. Τ.Α.Υ.Τ.Ε.Κ.Ω (1,5%);1,90;0,25;2,15;1/1/2017
060;ΜΕΤΑΚΛΗΤΟΙ ΠΟΛΙΤΕΣ ΤΡΙΤΩΝ ΧΩΡΩΝ ΑΝΕΙΔΙΚΕΥΤΟΙ ΕΡΓΑΤΕΣ ΑΣΦΑΛΙΣΜΕΝΟΙ ΣΤΟΝ τ. Ο.Γ.Α. Ν. 4251/2014 ΜΕ ΙΣΧΥΣ ΑΠΟ 01/01/2017;8,72;17,38;26,10;1/1/2025
061;ΠΡΟΝΟΙΑ ΠΡΟΣΩΠΙΚΟΥ ΟΣΕ ΤΟΥ Τ. ΤΑΥΤΕΚΩ - ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ (ΓΙΑ ΛΟΙΠΑ ΕΠΙΔΟΜΑΤΑ);4,000;3,000;7,000;1/12/2013
071;ΜΕΛΗ ΔΙΟΙΚΗΤΙΚΟΥ ΣΥΜΒΟΥΛΙΟΥ Α.Ε. ΚΑΙ ΑΓΡΟΤΙΚΩΝ ΣΥΝΕΤΑΙΡΙΣΜΩΝ, ΕΦΟΣΟΝ ΛΑΜΒΑΝΟΥΝ ΑΜΟΙΒΗ, ΜΕ ΙΣΧΥ ΑΠO 1/1/2017;11,72;20,38;32,10;1/1/2025
072;ΕΜΜΙΣΘΟΙ ΔΙΚΗΓΟΡΟΙ ΒΑΣΕΙ Ν.4670/2020 ΑΠΟ 1/1/2020;13,72;22,38;36,10;1/1/2025
073;ΕΜΜΙΣΘΟΙ ΔΙΚΗΓΟΡΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΞΑΙΡΕΣΗ ΑΣΘΕΝΕΙΑΣ ΣΕ ΕΙΔΟΣ ΚΑΙ ΧΡΗΜΑ;11,67;18,33;30,00;1/6/2022
074;Μισθωτοί  συντάκτες και διοικητικοί υπάλληλοι Εντύπων και Περιοδικών Πανελλαδικά  και Ανταποκριτές ξένου τύπου  Φωτοειδησεογράφοι ή Φωτορεπόρτερ απασχολούμενοι με σχέση εξαρτημένης εργασίας σε πρακτορεία οι οποίοι μέχρι την έναρξη του ν.4387/2016 υπάγονταν στην ασφάλιση της Β΄ Δ/νσης του τ. Ε.Τ.Α.Π. Μ.Μ.Ε. (τ. Τ.Α.Ι.Σ.Υ.Τ.) με ισχύ από 1/1/2017 ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ;17,37;21,79;39,16;1/1/2025
075;Μισθωτοί απασχολούμενοι σε Πρακτορεία Εφημερίδων, Διανομής Τύπου και για λογαριασμό φυσικών ή νομικών προσώπων με κύρια δραστηριότητα την Διακίνηση Διανομή και Πώληση Εντύπων οι οποίοι μέχρι την έναρξη του ν.4387/2016 υπάγονταν στην ασφάλιση της Δ΄ Δ/νσης του τ.  Ε.Τ.Α.Π. Μ.Μ.Ε. (τ. Τ.Α.Τ.Τ.Α. Θ.) και του Περιφερειακού Τμήματος Θεσσαλονίκης (τ. Τ.Σ.Ε.Υ.Π. Θ.) ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ;17,37;21,79;39,16;1/1/2025
076;ΠΡΟΝΟΙΑ Ε.Τ.Ε.Α.Ε.Π. - τ. Ε.Τ.Ε.Α. (τ. Τομέας Πρόνοιας Ιδιοκτητών, Συντακτών και Υπαλλήλων Τύπου)  ΠΑΛΑΙΩΝ ΑΣΦΑΛΙΣΜΕΝΩΝ Μισθωτών τ. Ε.Τ.Α.Π. - Μ.Μ.Ε.;2,00;2,00;4,00;1/1/2017
077;ΠΡΟΝΟΙΑ Ε.Τ.Ε.Α.Ε.Π. - τ. Ε.Τ.Ε.Α. (τ. Τομέας Πρόνοιας Εφημεριδοπωλών και Υπαλλήλων Πρακτορείων Αθηνών - Θεσσαλονίκης) ΠΑΛΑΙΩΝ ΑΣΦΑΛΙΣΜΕΝΩΝ Μισθωτών τ. Ε.Τ.Α.Π. - Μ.Μ.Ε.;4,00;0,00;4,00;1/1/2017
080;Της παρ. 9 του αρ. 39 του Ν. 4387/16, για τους κλάδους Σύνταξης, Ασθενείας και Επικουρικό;11,72;20,38;32,10;1/1/2025
081;Της παρ. 9 του αρ. 39 του Ν. 4387/16, για τους κλάδους Σύνταξης, Ασθενείας, Επικουρικό και Πρόνοια;15,72;20,38;36,10;1/1/2025
082;Της παρ. 9 του αρ. 39 του Ν. 4387/16, για τους κλάδους Σύνταξης, Ασθενείας και Πρόνοια;12,72;17,38;30,10;1/1/2025
083;Της παρ. 9 του αρ. 39 του Ν. 4387/16, για τους κλάδους Σύνταξης και Ασθενείας;8,72;17,38;26,10;1/1/2025
084;ΕΜΜΙΣΘΟΙ ΔΙΚΗΓΟΡΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΞΑΙΡΕΣΗ ΕΠΙΚΟΥΡΙΚΗΣ ΑΣΦΑΛΙΣΗΣ;10,72;19,38;30,10;1/1/2025
088;ΕΜΜΙΣΘΟΙ ΔΙΚΗΓΟΡΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΞΑΙΡΕΣΗ ΠΡΟΝΟΙΑΣ;11,72;20,38;32,10;1/1/2025
089;ΕΜΜΙΣΘΟΙ ΔΙΚΗΓΟΡΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΞΑΙΡΕΣΗ ΥΓΕΙΟΝΟΜΙΚΗΣ ΠΕΡΙΘΑΛΨΗΣ, ΠΡΟΝΟΙΑΣ ΚΑΙ ΕΠΙΚΟΥΡΙΚΗΣ ΑΣΦΑΛΙΣΗΣ;6,67;13,33;20,00;1/1/2020
090;"Μισθωτοί - συντάκτες και διοικητικοί υπάλληλοι Τηλεοπτικών και Ραδιοφωνικών σταθμών, Ημερήσιων Εφημερίδων Αθηνών - Θεσσαλονίκης με κυκλοφορία κάτω των 3000 φύλλων, Εβδομαδιαίων Εφημερίδων Αθηνών - Θεσσαλονίκης - οι οποίοι μέχρι την έναρξη του ν.4387/2016 υπάγονταν στην ασφάλιση της Α΄ Δ/νσης του τ. Ε.Τ.Α.Π. - Μ.Μ.Ε. (τ. Τ.Σ.Π.Ε.Α.Θ.) ΠΑΛΑΙΟΙ / ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ -  Χωρίς Ασφάλιση στον Ε.Δ.Ο.Ε.Α.Π."". ΚΛΑΔΟΣ ΑΝΕΡΓΙΑΣ : 2%";12,17;22,59;34,76;1/1/2025
091;"Μισθωτοί - συντάκτες και διοικητικοί υπάλληλοι Τηλεοπτικών και Ραδιοφωνικών σταθμών, Ημερήσιων Εφημερίδων Αθηνών - Θεσσαλονίκης με κυκλοφορία κάτω των 3000 φύλλων, Εβδομαδιαίων Εφημερίδων Αθηνών - Θεσσαλονίκης οι οποίοι μέχρι την έναρξη του ν.4387/2016 υπάγονταν στην ασφάλιση της Α΄ Δ/νσης του τ.  Ε.Τ.Α.Π. - Μ.Μ.Ε. (τ. Τ.Σ.Π.Ε.Α.Θ.)  ΠΑΛΑΙΟΙ / ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ - Με Ασφάλιση στον Ε.Δ.Ο.Ε.Α.Π."". ΚΛΑΔΟΣ ΑΝΕΡΓΙΑΣ : 2%";7,12;15,54;22,66;1/1/2021
092;"Μισθωτοί - συντάκτες και διοικητικοί υπάλληλοι Ημερήσιων Εφημερίδων Αθηνών - Θεσσαλονίκης με κυκλοφορία άνω των 3000 φύλλων - οι οποίοι μέχρι την έναρξη του ν.4387/2016 υπάγονταν στην ασφάλιση της Α΄ Δ/νσης του τ. Ε.Τ.Α.Π.- Μ.Μ.Ε. (τ. Τ.Σ.Π.Ε.Α.Θ.) ΠΑΛΑΙΟΙ / ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ - Χωρίς Ασφάλιση στον Ε.Δ.Ο.Ε.Α.Π."". ΚΛΑΔΟΣ ΑΝΕΡΓΙΑΣ : 0% ";12,17;20,59;32,76;1/1/2025
093;"Μισθωτοί - συντάκτες και διοικητικοί υπάλληλοι Ημερήσιων Εφημερίδων Αθηνών - Θεσσαλονίκης με κυκλοφορία άνω των 3000 φύλλων - οι οποίοι μέχρι την έναρξη του ν.4387/2016 υπάγονταν στην ασφάλιση της Α΄ Δ/νσης του Ε.Τ.Α.Π.- Μ.Μ.Ε. (τ. Τ.Σ.Π.Ε.Α.Θ.) ΠΑΛΑΙΟΙ / ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ  - Με Ασφάλιση στον Ε.Δ.Ο.Ε.Α.Π."". ΚΛΑΔΟΣ ΑΝΕΡΓΙΑΣ : 0% ";7,12;13,54;20,66;1/1/2021
094;"Μισθωτοί - συντάκτες ημερησίων εφημερίδων Επαρχιών μέλη της Ένωσης Ιδιοκτητών Ημερησίων Επαρχιακών Εφημερίδων - 75% έκπτωση στην εισφορά εργοδότη κλάδου ανεργίας (ν.3518/2006 παρ.7 άρθρο 39) - οι οποίοι μέχρι την έναρξη του ν.4387/2016 υπάγονταν στην ασφάλιση της Α΄ Δ/νσης του Ε.Τ.Α.Π.-Μ.Μ.Ε. (τ. Τ.Σ.Π.Ε.Α.Θ.)  ΠΑΛΑΙΟΙ / ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ"". ΚΛΑΔΟΣ ΑΝΕΡΓΙΑΣ  : 0,50%.";12,17;21,09;33,26;1/1/2025
095;"Μισθωτοί - συντάκτες ημερησίων εφημερίδων Επαρχιών  μη μέλη της Ένωσης Ιδιοκτητών Ημερησίων Επαρχιακών Εφημερίδων - 50% έκπτωση στην εισφορά εργοδότη κλάδου ανεργίας (ν.3518/2006 παρ.7 άρθρο 39) -  μέλη της ΣΗΠΕ - οι οποίοι μέχρι την έναρξη του ν.4387/2016 υπάγονταν στην ασφάλιση της Α΄ Δ/νσης του Ε.Τ.Α.Π.- Μ.Μ.Ε. (τ. Τ.Σ.Π.Ε.Α.Θ.) - ΠΑΛΑΙΟΙ / ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ"". ΚΛΑΔΟΣ ΑΝΕΡΓΙΑΣ  : 1%.";12,17;21,59;33,76;1/1/2025
096;Μισθωτοί - συντάκτες και διοικητικοί υπάλληλοι Εντύπων και Περιοδικών Πανελλαδικά  και Ανταποκριτές ξένου τύπου - Φωτοειδησεογράφοι ή Φωτορεπόρτερ - απασχολούμενοι με σχέση εξαρτημένης εργασίας σε πρακτορεία - οι οποίοι μέχρι την έναρξη του ν.4387/2016 υπάγονταν στην ασφάλιση της Β΄ Δ/νσης του τ. Ε.Τ.Α.Π. - Μ.Μ.Ε. (τ. Τ.Α.Ι.Σ.Υ.Τ.) ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ;13,37;21,79;35,16;1/1/2025
097;Μισθωτοί - Τεχνικοί Τύπου Αθηνών - Θεσσαλονίκης - οι οποίοι μέχρι την έναρξη του ν.4387/2016 υπάγονταν στην ασφάλιση της Γ΄ Δ/νσης του τ.  Ε.Τ.Α.Π. - Μ.Μ.Ε. (τ. Τ.Α.Τ.Τ.Α. - Θ.) ΠΑΛΑΙΟΙ / ΝΕΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ;15,77;20,59;36,36;1/1/2025
098;Μισθωτοί - απασχολούμενοι σε Πρακτορεία Εφημερίδων, Διανομής Τύπου και για λογαριασμό φυσικών ή νομικών προσώπων με κύρια δραστηριότητα την Διακίνηση Διανομή και Πώληση Εντύπων   - οι οποίοι μέχρι την έναρξη του ν.4387/2016 υπάγονταν στην ασφάλιση της Δ΄ Δ/νσης του τ. Ε.Τ.Α.Π. - Μ.Μ.Ε. (τ. Τ.Α.Τ.Τ.Α. - Θ.) και του Περιφερειακού Τμήματος Θεσσαλονίκης (τ. Τ.Σ.Ε.Υ.Π. - Θ.)  ΠΑΛΑΙΟΙ ΑΣΦΑΛΙΣΜΕΝΟΙ;13,37;21,79;35,16;1/1/2025
099;ΕΜΜΙΣΘΟΙ ΔΙΚΗΓΟΡΟΙ ΒΑΣΕΙ Ν. 4670/2020 ΑΠΟ 1/1/2020 ΜΕ ΕΞΑΙΡΕΣΗ ΠΡΟΝΟΙΑΣ ΚΑΙ ΕΠΙΚΟΥΡΙΚΗΣ ΑΣΦΑΛΙΣΗΣ;8,72;17,38;26,10;1/1/2025
101;ΜΙΚΤΑ, ΙΚΑ-ΤΕΑΜ;13,37;21,79;35,16;1/1/2025
102;ΜΙΚΤΑ, ΙΚΑ-ΤΕΑΜ;13,37;22,79;36,16;1/1/2025
103;ΜΙΚΤΑ;10,37;18,79;29,16;1/1/2025
104;ΜΙΚΤΑ;10,37;19,79;30,16;1/1/2025
105;ΜΙΚΤΑ, ΒΑΡΕΑ, ΙΚΑ-ΤΕΑΜ;16,82;23,94;40,76;1/1/2025
106;ΜΙΚΤΑ, ΒΑΡΕΑ, ΙΚΑ-ΤΕΑΜ;16,82;24,94;41,76;1/1/2025
107;ΜΙΚΤΑ, ΒΑΡΕΑ;12,57;20,19;32,76;1/1/2025
108;ΜΙΚΤΑ, ΒΑΡΕΑ;12,57;21,19;33,76;1/1/2025
109;ΣΥΝΤΑΞΗ, ΙΚΑ-ΤΕΑΜ;11,32;17,74;29,06;1/6/2022
110;ΣΥΝΤΑΞΗ, ΙΚΑ-ΤΕΑΜ;11,32;18,74;30,06;1/6/2022
111;ΣΥΝΤΑΞΗ;8,32;14,74;23,06;1/1/2021
112;ΣΥΝΤΑΞΗ;8,32;15,74;24,06;1/1/2021
113;ΣΥΝΤΑΞΗ, ΒΑΡΕΑ;10,52;16,14;26,66;1/1/2021
114;ΣΥΝΤΑΞΗ, ΒΑΡΕΑ;10,52;17,14;27,66;1/1/2021
115;ΣΥΝΤΑΞΗ, ΒΑΡΕΑ, ΙΚΑ-ΤΕΑΜ;14,77;19,89;34,66;1/6/2022
116;ΣΥΝΤΑΞΗ, ΒΑΡΕΑ, ΙΚΑ-ΤΕΑΜ;14,77;20,89;35,66;1/6/2022
127;ΑΣΘΕΝΕΙΑ (ΕΙΔΟΣ+ΧΡΗΜΑ);3,70;5,46;9,16;1/1/2025
128;ΑΣΘΕΝΕΙΑ (ΕΙΔΟΣ+ΧΡΗΜΑ);3,70;6,46;10,16;1/1/2025
133;ΕΤΕΑΕΠ (τ. ΙΚΑ-ΤΕΑΜ);4,65;4,41;9,06;1/6/2022
135;ΣΥΝΕΙΣΠΡΑΤΤΟΜΕΝΕΣ ΕΙΣΦΟΡΕΣ;1,65;1,41;3,06;1/1/2021
136;ΑΣΘΕΝΕΙΑ ΧΩΡΙΣ ΣΥΝΕΙΣΠΡΑΤΟΜΕΝΑ;5,05;7,05;12,10;1/1/2025
140;ΥΔΡΟΝΟΜΙΚΑ ΟΡΓΑΝΑ ΠΟΥ ΑΠΑΣΧΟΛΟΥΝΤΑΙ ΣΕ ΤΟΠΙΚΕΣ ΕΠΙΤΡΟΠΕΣ ΑΡΔΕΥΣΕΩΣ, ΔΗΜΟΥΣ, ΚΟΙΝΟΤΗΤΕΣ & ΛΟΙΠΟΥΣ ΟΡΓΑΝΙΣΜΟΥΣ;13,37;22,79;36,16;1/1/2025
141;ΜΟΡΦΩΤΙΚΕΣ ΟΡΓΑΝΩΣΕΙΣ ΠΟΥ ΕΧΟΥΝ ΠΟΡΟΥΣ ΑΠΟ ΙΔΙΩΤΙΚΕΣ ΕΙΣΦΟΡΕΣ ΑΜΕΡΙΚΑΝΩΝ;13,37;21,79;35,16;1/1/2025
142;ΜΟΡΦΩΤΙΚΕΣ ΟΡΓΑΝΩΣΕΙΣ ΠΟΥ ΕΧΟΥΝ ΠΟΡΟΥΣ ΑΠΟ ΙΔΙΩΤΙΚΕΣ ΕΙΣΦΟΡΕΣ ΑΜΕΡΙΚΑΝΩΝ;16,82;23,94;40,76;1/1/2025
